Jurisdiction,CTR_ID,Organization_Name,Location,Survey_Close_Date,Survey_Cycle,Total_Employees,Surveys_Returned,Response_Rate,Total_Weekly_Trips,Drive_Alone_Rate,VMT_per_Employee,Yearly_GHG_Metric_Tons,Weekly_CWW_Days,Weekly_Telework_Days,Weekly_Bus_Trips,Weekly_Train_Trips,Weekly_Carpool_Trips,Weekly_Vanpool_Trips,Weekly_Walk_Trips,Weekly_Bike_Trips,Weekly_Drive_Alone_Trips,Weekly Other Trips,Yearly_Total_VMT,Data_Source
City of Bellevue,E83016,Blueprint Technologies,ODT,10/7/2022,2021/2022,0,276.0,79.31034483,1186.0,0.390387858,7.0,0.0,3.0,545.0,22.0,0.0,64.0,0.0,27.0,0.0,463.0,57.0,0.0,Historic Records
City of Bellevue,E83044,Bungie,DT,10/7/2022,2021/2022,1150,591.0,59.1,2924.0,0.100547196,1.5,342.1,3.0,2266.0,68.0,19.0,40.0,0.0,79.0,12.0,294.0,132.0,431250.0,Historic Records
City of Bellevue,E80552,ChemPoint,DT,10/7/2022,2021/2022,185,152.0,82.16216216,708.0,0.265536723,5.2,179.6,0.0,430.0,18.0,0.0,13.0,1.0,20.0,0.0,188.0,36.0,240500.0,Historic Records
City of Bellevue,E80526,City of Bellevue,DT,10/7/2022,2021/2022,800,657.0,82.125,2990.0,0.37458194,6.5,947.8,43.0,1179.0,283.0,5.0,152.0,2.0,79.0,44.0,1120.0,58.0,1300000.0,Historic Records
City of Bellevue,E81257,City of Bellevue,ODT,10/7/2022,2021/2022,180,134.0,74.44444444,626.0,0.563897764,14.8,498.4,3.0,41.0,8.0,1.0,43.0,130.0,0.0,9.0,353.0,7.0,666000.0,Historic Records
City of Bellevue,E89797,Clark Nuber,DT,10/7/2022,2021/2022,243,214.0,88.06584362,1042.0,0.328214971,6.3,298.6,8.0,556.0,24.0,0.0,9.0,2.0,44.0,0.0,342.0,57.0,382724.99999999994,Historic Records
City of Bellevue,E86538,Coinstar Inc,ODT,10/7/2022,2021/2022,127,105.0,82.67716535,495.0,0.234343434,4.4,105.5,0.0,361.0,3.0,0.0,6.0,0.0,0.0,3.0,116.0,6.0,139700.00000000003,Historic Records
City of Bellevue,E86419,Concur Technology Inc,DT,10/7/2022,2021/2022,800,517.0,64.625,2509.0,0.076923077,1.4,217.6,1.0,1963.0,169.0,5.0,12.0,5.0,22.0,10.0,193.0,123.0,280000.0,Historic Records
City of Bellevue,E83011,EagleView Technologies,DT,10/7/2022,2021/2022,108,80.0,74.07407407,375.0,0.112,1.7,34.6,0.0,285.0,4.0,0.0,1.0,0.0,5.0,0.0,42.0,38.0,45900.0,Historic Records
City of Bellevue,E88303,Ebay,DT,10/7/2022,2021/2022,400,132.0,33.0,585.0,0.244444444,3.1,220.0,0.0,351.0,23.0,1.0,2.0,0.0,39.0,12.0,143.0,13.0,310000.0,Historic Records
City of Bellevue,E80597,Ericsson Inc.,ODT,10/7/2022,2021/2022,276,167.0,60.50724638,765.0,0.45751634,7.1,359.5,0.0,292.0,28.0,0.0,40.0,5.0,4.0,2.0,350.0,42.0,489900.0,Historic Records
City of Bellevue,E83010,Facebook,DT,11/8/2022,2021/2022,200,115.0,57.5,556.0,0.417266187,5.1,197.4,0.0,187.0,54.0,0.0,19.0,0.0,35.0,12.0,232.0,17.0,254999.99999999997,Historic Records
City of Bellevue,E83020,Facebook,ODT,11/8/2022,2021/2022,3300,1683.0,51.0,8295.0,0.441109102,5.1,3323.9,0.0,2492.0,1055.0,9.0,303.0,12.0,340.0,243.0,3659.0,147.0,4207500.0,Historic Records
City of Bellevue,E83503,Farmers Insurance Group,ODT,10/7/2022,2021/2022,0,95.0,73.64341085,484.0,0.066115702,1.2,0.0,0.0,415.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,35.0,0.0,Historic Records
City of Bellevue,E83041,Google,DT,10/7/2022,2021/2022,0,559.0,58.35073069,2574.0,0.405982906,4.7,0.0,2.0,826.0,187.0,3.0,167.0,12.0,150.0,102.0,1045.0,70.0,0.0,Historic Records
City of Bellevue,E85249,Group Health ,ODT,10/7/2022,2021/2022,0,252.0,56.0,1142.0,0.76882662,14.0,0.0,1.0,87.0,44.0,3.0,76.0,28.0,10.0,5.0,878.0,5.0,0.0,Historic Records
City of Bellevue,E81471,HDR Engineering Inc,DT,10/7/2022,2021/2022,0,145.0,80.55555556,680.0,0.383823529,6.8,0.0,0.0,240.0,100.0,13.0,30.0,3.0,24.0,0.0,261.0,8.0,0.0,Historic Records
City of Bellevue,E81521,HNTB Corporation,DT,10/7/2022,2021/2022,0,195.0,79.59183673,958.0,0.269311065,5.1,0.0,0.0,429.0,155.0,12.0,25.0,4.0,17.0,34.0,258.0,14.0,0.0,Historic Records
City of Bellevue,E81282,Intellectual Ventures,ODT,10/7/2022,2021/2022,150,69.0,56.09756098,331.0,0.604229607,9.6,277.0,1.0,121.0,3.0,0.0,2.0,0.0,0.0,0.0,200.0,2.0,360000.0,Historic Records
City of Bellevue,E81323,Jacobs,DT,10/7/2022,2021/2022,300,295.0,98.33333333,1420.0,0.192957746,4.2,242.8,2.0,1012.0,23.0,2.0,12.0,0.0,17.0,20.0,274.0,54.0,315000.0,Historic Records
City of Bellevue,E83809,Market Leader Inc.,DT,10/7/2022,2021/2022,104,81.0,77.88461538,405.0,0.143209877,3.2,66.6,0.0,299.0,2.0,0.0,2.0,0.0,16.0,0.0,58.0,28.0,83200.0,Historic Records
City of Bellevue,E80543,Microsoft Corporation,DT,5/13/2022,2021/2022,1554,284.0,18.27541828,1395.0,0.288888889,4.400965161,1408.100356,2.0,819.0,82.0,6.0,37.0,0.0,24.0,10.0,403.0,5.0,1709774.9650485,Historic Records
City of Bellevue,E80641,Microsoft Corporation,DT,5/13/2022,2021/2022,1975,328.0,16.60759494,1626.0,0.27798278,3.372782472,1384.142887,0.0,844.0,198.0,2.0,28.0,7.0,66.0,23.0,452.0,1.0,1665311.34555,Historic Records
City of Bellevue,E80642,Microsoft Corporation,DT,5/13/2022,2021/2022,2465,445.0,18.05273834,2194.0,0.286690975,3.3097366,1686.031809,2.0,965.0,361.0,1.0,69.0,18.0,107.0,32.0,629.0,3.0,2039625.17975,Historic Records
City of Bellevue,E80800,Microsoft Corporation,ODT,5/13/2022,2021/2022,150,33.0,22.0,165.0,0.206060606,2.959393939,93.03424532,0.0,109.0,6.0,0.0,10.0,0.0,1.0,0.0,34.0,5.0,110977.2727125,Historic Records
City of Bellevue,E88832,Microsoft Corporation,ODT,5/13/2022,2021/2022,2006,374.0,18.6440678,1847.0,0.308067136,4.495416676,1866.701901,0.0,999.0,181.0,0.0,46.0,14.0,0.0,21.0,569.0,6.0,2254451.4630139996,Historic Records
City of Bellevue,E83026,Mindtree - Bellevue,ODT,11/13/2022,2021/2022,0,427.0,53.375,2055.0,0.256934307,4.5,0.0,2.0,897.0,175.0,12.0,126.0,14.0,18.0,1.0,528.0,275.0,0.0,Historic Records
City of Bellevue,E80794,Mod Pizza,ODT,10/7/2022,2021/2022,0,158.0,74.17840376,750.0,0.385333333,7.7,0.0,0.0,418.0,5.0,0.0,13.0,0.0,0.0,6.0,289.0,18.0,0.0,Historic Records
City of Bellevue,E80605,Nintex,DT,10/7/2022,2021/2022,0,80.0,52.63157895,389.0,0.123393316,2.4,0.0,0.0,311.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,27.0,0.0,Historic Records
City of Bellevue,E82578,Nordstrom,DT,10/14/2022,2021/2022,0,279.0,50.45207957,1286.0,0.830482115,13.5,0.0,0.0,4.0,71.0,4.0,72.0,1.0,56.0,0.0,1068.0,10.0,0.0,Historic Records
City of Bellevue,E80795,OfferUp,ODT,10/7/2022,2021/2022,250,200.0,80.0,949.0,0.17597471,2.9,138.0,2.0,723.0,1.0,0.0,21.0,0.0,0.0,3.0,167.0,32.0,181250.0,Historic Records
City of Bellevue,E81509,Oracle Corporation,DT,10/21/2022,2021/2022,500,286.0,57.2,1338.0,0.213004484,2.9,271.9,0.0,609.0,173.0,65.0,45.0,0.0,74.0,9.0,285.0,64.0,362500.0,Historic Records
City of Bellevue,E81588,Overlake Hospital Medical Center,ODT,10/7/2022,2021/2022,5000,1485.0,99.19839679,6815.0,0.78488628,13.5,12411.5,24.0,739.0,194.0,3.0,255.0,11.0,74.0,36.0,5349.0,106.0,16875000.0,Historic Records
City of Bellevue,E81778,Paccar,DT,5/28/2022,2021/2022,430,278.0,64.65116279,1360.0,0.726470588,12.6,1061.4,0.0,78.0,99.0,9.0,127.0,0.0,47.0,6.0,988.0,6.0,1354500.0,Historic Records
City of Bellevue,E87825,Parker Smith & Feek Inc,ODT,10/7/2022,2021/2022,0,139.0,77.22222222,656.0,0.449695122,8.3,0.0,0.0,293.0,9.0,2.0,22.0,0.0,0.0,2.0,295.0,26.0,0.0,Historic Records
City of Bellevue,E80722,Pro Sports Club,ODT,10/7/2022,2021/2022,0,162.0,81.0,807.0,0.884758364,14.4,0.0,0.0,3.0,23.0,0.0,29.0,5.0,16.0,9.0,714.0,1.0,0.0,Historic Records
City of Bellevue,E84681,Puget Sound Energy,DT,10/17/2022,2021/2022,567,404.0,71.25220459,1916.0,0.184759916,3.2,344.6,7.0,1387.0,40.0,0.0,13.0,0.0,12.0,5.0,354.0,94.0,453600.0,Historic Records
City of Bellevue,E84682,Puget Sound Energy,ODT,10/17/2022,2021/2022,131,95.0,72.51908397,423.0,0.541371158,12.3,287.2,0.0,152.0,2.0,0.0,0.0,0.0,7.0,0.0,229.0,29.0,402825.00000000006,Historic Records
City of Bellevue,E80798,Salesforce,DT,10/21/2022,2021/2022,1200,622.0,51.83333333,2813.0,0.194454319,2.6,564.9,2.0,1775.0,117.0,10.0,86.0,2.0,102.0,32.0,547.0,127.0,780000.0,Historic Records
City of Bellevue,E84062,Seattle Children's,ODT,11/7/2022,2021/2022,0,130.0,72.22222222,540.0,0.827777778,12.8,0.0,21.0,21.0,14.0,0.0,23.0,0.0,1.0,3.0,447.0,10.0,0.0,Historic Records
City of Bellevue,E80607,Smartsheet Inc,DT,10/26/2022,2021/2022,1000,478.0,52.99334812,2323.0,0.102453724,1.6,311.5,4.0,1858.0,51.0,2.0,31.0,2.0,16.0,6.0,238.0,112.0,400000.0,Historic Records
City of Bellevue,E80402,Symetra Financial,DT,10/2/2022,2021/2022,582,556.0,95.53264605,2734.0,0.064374543,1.3,149.2,7.0,2369.0,53.0,0.0,18.0,0.0,21.0,0.0,176.0,90.0,189150.0,Historic Records
City of Bellevue,E80338,T-Mobile USA Inc.,ODT,10/14/2022,2021/2022,0,569.0,54.86981678,2633.0,0.59475883,11.4,0.0,2.0,814.0,41.0,13.0,106.0,11.0,9.0,11.0,1566.0,37.0,0.0,Historic Records
City of Bellevue,E80352,T-Mobile USA Inc.,ODT,10/14/2022,2021/2022,0,92.0,65.71428571,416.0,0.721153846,11.3,0.0,0.0,56.0,8.0,0.0,13.0,10.0,5.0,6.0,300.0,3.0,0.0,Historic Records
City of Bellevue,E87767,T-Mobile USA Inc.,ODT,10/14/2022,2021/2022,0,2457.0,52.96400086,11478.0,0.571092525,9.8,0.0,27.0,3571.0,210.0,107.0,425.0,93.0,60.0,63.0,6555.0,252.0,0.0,Historic Records
City of Bellevue,E81524,The Pokemon Company International,DT,10/26/2022,2021/2022,675,380.0,56.2962963,1787.0,0.401231114,6.2,788.0,2.0,665.0,145.0,3.0,83.0,0.0,106.0,20.0,717.0,32.0,1046250.0,Historic Records
City of Bellevue,E80693,VMware,DT,10/30/2022,2021/2022,500,126.0,51.63934426,595.0,0.173109244,2.8,264.7,2.0,395.0,22.0,0.0,16.0,0.0,13.0,16.0,103.0,26.0,350000.0,Historic Records
City of Bellevue,E81511,Valve Corporation,DT,10/7/2022,2021/2022,400,290.0,90.625,1426.0,0.503506311,5.5,433.7,1.0,450.0,37.0,5.0,31.0,0.0,82.0,58.0,718.0,32.0,550000.0,Historic Records
City of Bellevue,E81273,Verizon,ODT,10/10/2022,2021/2022,0,145.0,61.70212766,654.0,0.218654434,4.8,0.0,0.0,460.0,1.0,0.0,1.0,0.0,6.0,2.0,143.0,29.0,0.0,Historic Records
City of Bellevue,E87189,Waggener Edstrom,DT,10/7/2022,2021/2022,218,118.0,54.12844037,560.0,0.098214286,1.6,66.3,2.0,418.0,11.0,0.0,11.0,0.0,4.0,0.0,55.0,58.0,87200.0,Historic Records
City of Bellevue,C80001,AAA Washington - Headquarters,ODT,4/19/24 03:07 pm,2023-2025,285,219.0,0.768421053,1448.424658,0.204402516,4.61621743,255.9046858,6.506849315,1118.0,0.0,0.0,17.0,0.0,13.0,0.0,288.0,7.0,668624.3151,2023-2025 Survey
City of Bellevue,C80003,Amazon - Bingo,DT,4/29/24 04:39 pm,2023-2025,2348,1881.0,0.801107325,12180.01595,0.410585013,5.810764427,2343.649609,547.3673578,3729.0,1102.0,20.0,554.0,150.0,688.0,96.0,4599.0,56.0,7077520.339,2023-2025 Survey
City of Bellevue,C80006,Amazon - Blueshift,DT,4/29/24 12:57 pm,2023-2025,1050,820.0,0.780952381,5403.658537,0.430078972,5.561479154,974.0994084,211.2804878,1670.0,430.0,4.0,239.0,169.0,177.0,49.0,2138.0,18.0,3005233.431,2023-2025 Survey
City of Bellevue,C80589,Amazon - Dynamo,DT,4/29/24 11:09 am,2023-2025,1057,710.0,0.671712394,5497.888732,0.388926618,5.329298314,993.6191061,303.7014085,1483.0,476.0,19.0,247.0,55.0,397.0,60.0,1926.0,40.0,2929988.915,2023-2025 Survey
City of Bellevue,C80009,Amazon - Everest,DT,4/29/24 12:13 pm,2023-2025,2757,2142.0,0.776931447,14330.09314,0.392276095,5.442468171,2628.099966,658.3592437,4577.0,1207.0,63.0,523.0,162.0,723.0,188.0,5188.0,51.0,7799107.578,2023-2025 Survey
City of Bellevue,C80007,Amazon - Grace,DT,4/29/24 02:20 pm,2023-2025,2087,1640.0,0.785816962,10933.20762,0.396366543,4.935719735,1707.24578,559.2905488,3064.0,1021.0,18.0,494.0,195.0,890.0,146.0,3960.0,33.0,5396324.863,2023-2025 Survey
City of Bellevue,C80585,Amazon - Jetstream (SEA132),DT,4/29/24 10:57 am,2023-2025,535,433.0,0.809345794,2810.91224,0.414637358,4.931312008,456.475752,169.2725173,899.0,184.0,14.0,136.0,26.0,163.0,6.0,1066.0,26.0,1386148.528,2023-2025 Survey
City of Bellevue,C80008,Amazon - Maverick,DT,4/29/24 02:42 pm,2023-2025,849,822.0,0.96819788,4397.861314,0.429900568,6.976641039,1053.302349,161.1240876,1452.0,367.0,39.0,129.0,13.0,161.0,41.0,1787.0,29.0,3068229.973,2023-2025 Survey
City of Bellevue,C80588,Amazon - Sonic,DT,4/29/24 12:46 pm,2023-2025,966,836.0,0.865424431,5003.90311,0.360662713,4.687414836,761.7259003,255.9437799,1450.0,579.0,12.0,214.0,79.0,258.0,55.0,1660.0,18.0,2345536.968,2023-2025 Survey
City of Bellevue,C80004,Amazon - Tahoe,DT,4/29/24 04:49 pm,2023-2025,1055,707.0,0.67014218,5441.382603,0.459247275,5.17164635,899.7622342,238.0091938,1513.0,343.0,13.0,234.0,94.0,307.0,75.0,2320.0,16.0,2814090.648,2023-2025 Survey
City of Bellevue,C80010,Apptio - Plaza East,DT,4/26/24 05:26 pm,2023-2025,241,169.0,0.701244813,1195.017751,0.337112172,4.689272076,200.3299112,7.130177515,707.0,44.0,0.0,36.0,0.0,10.0,4.0,385.0,1.0,560376.3373,2023-2025 Survey
City of Bellevue,C80011,Bank of America - Bellevue Branch,DT,4/25/24 03:27 pm,2023-2025,203,140.0,0.689655172,1032.4,0.530430702,8.259995185,316.7420836,18.85,312.0,59.0,0.0,110.0,0.0,22.0,0.0,493.0,17.0,852761.9029,2023-2025 Survey
City of Bellevue,C80013,Bellevue College - Bellevue,ODT,10/25/24 02:44 pm,2023-2025,1056,456.0,0.431818182,5254.526316,0.574629048,8.688989136,1691.050369,125.0526316,1429.0,371.0,9.0,266.0,7.0,79.0,32.0,2876.0,39.0,4565652.207,2023-2025 Survey
City of Bellevue,C80570,Bellevue School District - ESC,ODT,6/21/24 04:25 pm,2023-2025,433,226.0,0.521939954,2136.261062,0.933781749,10.86143491,813.5722467,9.579646018,42.0,10.0,0.0,69.0,0.0,8.0,8.0,1943.0,19.0,2320286.047,2023-2025 Survey
City of Bellevue,C80014,Blueprint Technologies - Bellevue,ODT,7/12/24 01:01 pm,2023-2025,337,244.0,0.724035608,1665.663934,0.29145937,4.852280265,304.7778997,70.43852459,1022.0,41.0,0.0,62.0,0.0,6.0,0.0,446.0,8.0,808226.8238,2023-2025 Survey
City of Bellevue,C80616,Broadcom - 500 108th Ave NE,DT,10/15/24 12:57 pm,2023-2025,144,62.0,0.430555556,722.3225806,0.654340804,12.61816644,310.2165308,0.0,12.0,100.0,37.0,139.0,0.0,12.0,7.0,393.0,12.0,911438.6549,2023-2025 Survey
City of Bellevue,C80015,Bungie - Bellevue,DT,10/29/24 11:58 am,2023-2025,684,498.0,0.728070175,3443.349398,0.198111947,2.850717866,324.6136428,4.120481928,2474.0,80.0,14.0,65.0,0.0,118.0,22.0,636.0,0.0,981601.7647,2023-2025 Survey
City of Bellevue,C80587,ByteDance - TikTok Key Center,DT,10/17/24 04:17 pm,2023-2025,700,554.0,0.791428571,3580.866426,0.573864968,7.08571507,747.1638644,84.65703971,771.0,222.0,44.0,126.0,6.0,307.0,11.0,1956.0,13.0,2537299.92,2023-2025 Survey
City of Bellevue,C80610,ByteDance - TikTok Lincoln Square North,DT,10/18/24 10:59 am,2023-2025,700,446.0,0.637142857,3606.726457,0.705033338,8.952502007,1025.140892,3.139013453,61.0,261.0,52.0,124.0,8.0,556.0,25.0,2425.0,9.0,3228922.585,2023-2025 Survey
City of Bellevue,C80578,Capgemini - Bellevue,ODT,4/23/25 02:30 pm,2023-2025,442,167.0,0.377828054,2306.60479,0.385255307,6.384796328,457.4411932,38.37724551,1154.0,87.0,29.0,58.0,8.0,29.0,8.0,844.0,32.0,1472720.18,2023-2025 Survey
City of Bellevue,C80017,ChemPoint.com Inc. - Bellevue,DT,4/18/24 07:36 am,2023-2025,175,127.0,0.725714286,866.7322835,0.204292528,3.687837838,119.4034039,1.377952756,652.0,25.0,0.0,4.0,0.0,3.0,0.0,175.0,6.0,319636.811,2023-2025 Survey
City of Bellevue,C80572,Chewy Inc.- Bellevue,DT,10/22/24 05:12 pm,2023-2025,591,125.0,0.211505922,2912.448,0.459145016,6.582115742,655.6593459,47.28,1395.0,28.0,0.0,90.0,5.0,24.0,9.0,1248.0,14.0,1917006.983,2023-2025 Survey
City of Bellevue,C80019,City of Bellevue - Bellevue Service Center,ODT,4/22/24 07:26 am,2023-2025,180,131.0,0.727777778,912.3664122,0.6066625,11.76434159,417.1649615,82.44274809,74.0,32.0,0.0,47.0,146.0,15.0,12.0,459.0,0.0,1073339.013,2023-2025 Survey
City of Bellevue,C80018,City of Bellevue - City Hall,DT,4/20/24 08:45 am,2023-2025,970,705.0,0.726804124,4952.503546,0.413964887,7.290625193,1265.375477,241.4680851,1845.0,464.0,11.0,277.0,10.0,66.0,63.0,1886.0,52.0,3610684.712,2023-2025 Survey
City of Bellevue,C80020,Clark Nuber - Bellevue,DT,4/19/24 08:38 am,2023-2025,232,174.0,0.75,1200.666667,0.340921699,4.484897108,192.634696,0.666666667,727.0,33.0,1.0,16.0,4.0,17.0,0.0,397.0,0.0,538486.6461,2023-2025 Survey
City of Bellevue,C80021,Coinstar LLC - Bellevue,ODT,4/19/24 08:26 am,2023-2025,101,75.0,0.742574257,507.6933333,0.120689655,1.928116711,38.29425504,0.0,443.0,0.0,0.0,7.0,0.0,0.0,0.0,58.0,0.0,97889.2,2023-2025 Survey
City of Bellevue,C80022,Concur Technologies Inc. - Bellevue,DT,4/26/24 03:29 pm,2023-2025,900,598.0,0.664444444,4609.866221,0.249918381,4.032990532,650.7150803,94.81605351,2798.0,363.0,9.0,95.0,5.0,60.0,23.0,1099.0,57.0,1859154.682,2023-2025 Survey
City of Bellevue,C80648,Databricks - 500 108th Ave NE,DT,6/18/25 07:36 am,2023-2025,400,61.0,0.1525,2052.459016,0.368477093,4.062779393,263.0018232,13.1147541,525.0,354.0,157.0,46.0,0.0,105.0,111.0,728.0,7.0,833868.8197,2023-2025 Survey
City of Bellevue,C80023,Eagleview Technologies - Bellevue,DT,4/19/24 12:08 am,2023-2025,74,53.0,0.716216216,379.7735849,0.117647059,2.201102941,32.70121992,0.0,320.0,10.0,0.0,8.0,0.0,0.0,0.0,39.0,1.0,83592.07547,2023-2025 Survey
City of Bellevue,C80631,Elevate Outdoor Collective - 3305 160th Ave NE,ODT,3/18/25 10:49 am,2023-2025,100,95.0,0.95,513.6842105,0.494467213,8.942151639,173.9386383,10.52631579,203.0,12.0,1.0,16.0,8.0,5.0,3.0,244.0,4.0,459344.2105,2023-2025 Survey
City of Bellevue,C80025,Ericsson Inc. - Bellevue,ODT,4/18/24 03:32 pm,2023-2025,223,157.0,0.704035874,1168.264331,0.537021277,7.530735562,272.9442243,54.68471338,412.0,45.0,0.0,40.0,0.0,3.0,1.0,592.0,4.0,879788.9745,2023-2025 Survey
City of Bellevue,C80027,Farmers Insurance Co. - Bellevue,ODT,4/19/24 09:25 am,2023-2025,300,237.0,0.79,1491.139241,0.059847199,1.639431239,95.6335443,6.329113924,1382.0,6.0,0.0,6.0,0.0,0.0,0.0,82.0,3.0,244462.0253,2023-2025 Survey
City of Bellevue,C80632,FlexPort - 3255 160th Ave SE,ODT,4/2/25 03:35 pm,2023-2025,230,141.0,0.613043478,1148.368794,0.52391098,7.918371121,297.6759136,3.262411348,429.0,65.0,3.0,23.0,0.0,11.0,21.0,581.0,2.0,909321.0297,2023-2025 Survey
City of Bellevue,C80651,GE Vernova - Bellevue,DT,6/17/25 10:27 am,2023-2025,215,158.0,0.734883721,1065.474684,0.215836526,3.344316731,115.941281,13.60759494,661.0,110.0,14.0,16.0,0.0,23.0,1.0,220.0,4.0,356328.481,2023-2025 Survey
City of Bellevue,C80028,Google - Bellevue South Building,DT,4/19/24 09:33 am,2023-2025,360,194.0,0.538888889,1789.793814,0.499740767,5.553291447,293.130164,23.19587629,540.0,93.0,0.0,91.0,0.0,84.0,41.0,844.0,13.0,993924.6682,2023-2025 Survey
City of Bellevue,C80650,Grant Thornton - Bellevue,DT,6/23/25 01:40 pm,2023-2025,150,108.0,0.72,770.8333333,0.287387387,4.442702703,122.8802667,4.166666667,412.0,65.0,25.0,7.0,0.0,12.0,1.0,217.0,24.0,342458.3333,2023-2025 Survey
City of Bellevue,C80029,HDR Engineering - Bellevue,DT,4/17/24 03:35 pm,2023-2025,180,152.0,0.844444444,905.3289474,0.361347273,6.183943496,209.6184627,8.881578947,327.0,181.0,13.0,25.0,7.0,13.0,8.0,308.0,9.0,559850.3056,2023-2025 Survey
City of Bellevue,C80031,HNTB Corporation - Bellevue,DT,4/23/24 07:00 am,2023-2025,326,245.0,0.751533742,1645.302041,0.307386438,5.270103756,326.4425649,8.648979592,660.0,301.0,28.0,28.0,0.0,16.0,73.0,490.0,8.0,867091.2465,2023-2025 Survey
City of Bellevue,C80579,Healthcare Management Administrators Inc. - HQ,ODT,6/11/25 04:32 pm,2023-2025,213,100.0,0.469483568,1090.56,0.077148438,1.270898438,52.4534652,6.39,986.0,13.0,0.0,2.0,0.0,0.0,0.0,83.0,0.0,138599.1,2023-2025 Survey
City of Bellevue,C80575,Hopelink - Bellevue,ODT,4/18/24 03:22 pm,2023-2025,108,100.0,0.925925926,535.68,0.53494621,7.270463177,151.4288927,8.64,154.0,54.0,0.0,15.0,0.0,12.0,0.0,280.0,12.0,389464.1715,2023-2025 Survey
City of Bellevue,C80033,Intellectual Ventures - Headquarters,ODT,4/19/24 01:02 pm,2023-2025,100,70.0,0.7,502.8571429,0.630681818,12.50482955,218.8652229,0.0,174.0,0.0,1.0,9.0,0.0,0.0,3.0,306.0,3.0,628814.2857,2023-2025 Survey
City of Bellevue,C80035,Jacobs - One Twelfth @ Twelfth,DT,4/19/24 04:47 pm,2023-2025,381,233.0,0.611548556,1926.257511,0.251344075,4.402702171,313.7784615,29.43347639,1145.0,113.0,25.0,59.0,5.0,41.0,38.0,443.0,16.0,848073.8125,2023-2025 Survey
City of Bellevue,C80036,Kaiser Permanente - Bellevue Medical Center,ODT,4/23/24 01:24 pm,2023-2025,241,146.0,0.605809129,1170.335616,0.705453625,11.09786414,487.2675593,132.0547945,89.0,64.0,0.0,25.0,23.0,13.0,12.0,802.0,7.0,1298822.567,2023-2025 Survey
City of Bellevue,C80574,Kindering - Bellevue Kindering Center,ODT,4/18/24 06:19 pm,2023-2025,151,97.0,0.642384106,744.1030928,0.612970711,8.907322176,239.5489405,29.57731959,238.0,8.0,0.0,22.0,0.0,0.0,0.0,445.0,2.0,662796.5979,2023-2025 Survey
City of Bellevue,C80569,King County Metro - East Base,ODT,10/31/24 05:00 pm,2023-2025,300,8.0,0.026666667,1500.0,0.975,18.375,1078.245,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.0,0.0,2756250.0,2023-2025 Survey
City of Bellevue,C80045,LTIMindtree - Bellevue,ODT,5/27/24 09:49 pm,2023-2025,400,364.0,0.91,1976.923077,0.31522139,4.742615899,335.9103715,45.05494505,1132.0,88.0,0.0,107.0,5.0,5.0,1.0,555.0,19.0,937578.6816,2023-2025 Survey
City of Bellevue,C80625,LinkedIn - 700 Bellevue Way NE,DT,2/19/25 08:05 am,2023-2025,325,152.0,0.467692308,1659.210526,0.409793814,4.347744845,215.5315757,57.73026316,753.0,75.0,6.0,68.0,0.0,17.0,11.0,601.0,26.0,721382.4013,2023-2025 Survey
City of Bellevue,C80039,Meta - Bellevue Spring District,DT,9/26/24 05:00 pm,2023-2025,4729,1310.0,0.277014168,22374.30687,0.530332365,5.515488867,3613.684049,0.0,4595.0,274.0,379.0,931.0,0.0,964.0,780.0,11205.0,54.0,12340524.05,2023-2025 Survey
City of Bellevue,C80046,Mod Pizza - Headquarters,ODT,4/16/24 02:02 pm,2023-2025,125,92.0,0.736,646.7391304,0.414565798,9.516386202,217.5093172,12.22826087,341.0,8.0,0.0,22.0,0.0,0.0,1.0,258.0,4.0,615461.9337,2023-2025 Survey
City of Bellevue,C80048,Nintex - Bellevue,DT,5/14/24 04:23 pm,2023-2025,109,55.0,0.504587156,546.9818182,0.179347826,2.18134058,42.45860749,3.963636364,422.0,14.0,0.0,2.0,0.0,6.0,0.0,97.0,0.0,119315.3636,2023-2025 Survey
City of Bellevue,C80050,Nordstrom - Bellevue Square,DT,4/18/24 11:49 am,2023-2025,200,141.0,0.705,994.3262411,0.800285307,5.942225392,215.6039149,21.27659574,0.0,62.0,0.0,14.0,0.0,71.0,7.0,769.0,23.0,590851.0638,2023-2025 Survey
City of Bellevue,C80051,OfferUP - Bellevue,ODT,4/17/24 08:55 am,2023-2025,193,140.0,0.725388601,951.2142857,0.217391304,3.313405797,109.2427257,5.514285714,724.0,7.0,0.0,17.0,0.0,0.0,0.0,193.0,0.0,315175.8929,2023-2025 Survey
City of Bellevue,C80053,Overlake Hospital Medical Center - Bellevue,ODT,4/22/24 07:13 am,2023-2025,1041,1220.0,1.171950048,5309.953279,0.684484485,11.0955836,2160.938599,450.5311475,785.0,141.0,4.0,226.0,20.0,57.0,25.0,3496.0,69.0,5891703.052,2023-2025 Survey
City of Bellevue,C80054,PACCAR - Bellevue,DT,4/26/24 09:45 am,2023-2025,438,328.0,0.748858447,2214.036585,0.773939029,12.1187932,1006.418187,2.670731707,178.0,130.0,1.0,220.0,5.0,52.0,8.0,1598.0,3.0,2683145.151,2023-2025 Survey
